elo_home,elo_away,elo_diff,home_form_pts,home_goal_diff_5,home_clean_sheet_rate,home_btts_rate,home_over25_rate,away_form_pts,away_goal_diff_5,away_clean_sheet_rate,away_btts_rate,away_over25_rate,home_rest_days,away_rest_days,home_matches_last_30d,away_matches_last_30d,home_avg_cards_5,away_avg_cards_5,home_avg_corners_5,away_avg_corners_5,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,fixture_id,date,goals_home,goals_away,league_id
1497.861640912997,1458.6693734006622,39.192267512334865,1.8,16,0.4,0.2,0.6,0.6,-6,0.2,0.6,0.8,34.0,213.0,0,0,0.0,0.0,,,3,0,0,3.3333333333333335,,,,,,,462709,2025-11-18,9,0,1375
1512.1885756607858,1469.5532971563018,42.63527850448395,2.0,3,0.6666666666666666,0.0,0.3333333333333333,0.8,-3,0.2,0.4,0.4,884.0,4.0,0,1,0.0,0.0,,,0,0,0,,,,,,,,140669,2025-11-18,0,0,60
1554.4461413774034,1479.7110595214692,74.73508185593414,1.4,-1,0.4,0.4,0.4,0.8,-3,0.2,0.4,0.2,10.0,10.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466826,2025-11-18,1,0,1378
1561.1207511442008,1469.1275530186797,91.99319812552108,1.0,-1,0.2,0.8,0.6,1.2,-1,0.2,0.8,0.8,11.0,11.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466825,2025-11-18,2,1,1378
1437.6561333381392,1515.7377013386529,-78.0815680005137,0.6,-4,0.2,0.6,0.6,1.6,1,0.4,0.6,0.4,11.0,11.0,4,4,0.0,0.0,,,1,0,1,2.5,,,,,,,466824,2025-11-18,0,1,1378
1466.83986325023,1501.1422030577903,-34.3023398075602,0.2,-10,0.2,0.2,0.4,0.6,-4,0.2,0.6,0.2,10.0,10.0,4,4,0.0,0.0,,,2,2,0,2.75,,,,,,,466823,2025-11-18,1,1,1378
1499.2299769926376,1454.199319426363,45.03065756627461,1.8,0,0.2,0.6,0.6,1.0,-2,0.2,0.4,0.2,11.0,11.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466822,2025-11-18,0,1,1378
1583.6516352504584,1602.369888328281,-18.71825307782251,2.6,4,0.2,0.8,0.6,2.4,4,0.4,0.4,0.4,11.0,11.0,4,4,0.0,0.0,,,0,0,2,1.0,,,,,,,466820,2025-11-18,1,1,1378
1499.1437550724745,1518.473198740453,-19.329443667978467,1.0,-1,0.4,0.2,0.0,1.6,3,0.4,0.4,0.2,10.0,10.0,4,4,0.0,0.0,,,2,0,3,3.6,,,,,,,466819,2025-11-18,1,1,1378
1488.7972288436006,1537.9718105783677,-49.174581734767116,1.2,-3,0.2,0.4,0.4,2.0,3,0.6,0.4,0.4,10.0,10.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466821,2025-11-18,1,0,1378
1486.3834841293537,1524.222433511877,-37.8389493825232,1.0,0,0.0,0.8,0.4,0.8,-4,0.2,0.2,0.2,11.0,11.0,4,4,0.0,0.0,,,0,2,2,2.0,,,,,,,466817,2025-11-18,2,1,1378
1448.680912721128,1542.1898592247946,-93.50894650366672,0.8,-1,0.4,0.2,0.2,1.8,0,0.4,0.4,0.4,11.0,11.0,4,4,0.0,0.0,,,0,3,2,1.0,,,,,,,466816,2025-11-18,1,0,1378
1552.4384901237024,1513.7610396486846,38.67745047501785,1.8,3,0.4,0.4,0.6,2.6,6,0.6,0.4,0.2,10.0,10.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466815,2025-11-18,1,1,1378
1515.8529220850855,1531.143823015197,-15.290900930111547,1.4,3,0.0,0.8,0.6,2.0,4,0.4,0.4,0.6,10.0,10.0,4,4,0.0,0.0,,,0,0,0,,,,,,,,466814,2025-11-18,1,1,1378
1644.9832590130627,1483.937593561173,161.04566545188982,1.4,2,0.4,0.4,0.2,1.4,0,0.2,0.4,0.2,11.0,11.0,4,4,0.0,0.0,,,2,0,3,2.6,,,,,,,466813,2025-11-18,2,1,1378
1560.2831372799512,1558.9334872940524,1.34964998589885,2.2,4,0.6,0.4,0.2,1.6,3,0.6,0.2,0.2,10.0,10.0,4,4,0.0,0.0,,,0,0,1,3.0,,,,,,,466812,2025-11-18,2,1,1378
1507.5078519837302,1506.5242088704217,0.9836431133085171,1.6,1,0.4,0.4,0.4,2.0,4,0.4,0.4,0.2,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140671,2025-11-18,0,8,60
1472.9718354134782,1524.850522164024,-51.87868675054574,0.3333333333333333,-4,0.0,0.6666666666666666,0.6666666666666666,3.0,5,0.5,0.5,1.0,3.0,3.0,1,1,0.0,0.0,,,0,0,1,3.0,,,,,,,140670,2025-11-18,2,2,60
1623.868911972215,1553.923018719108,69.94589325310699,1.4,0,0.6,0.2,0.2,1.4,2,0.6,0.4,0.0,11.0,11.0,4,4,0.0,0.0,,,3,1,1,1.6,,,,,,,466818,2025-11-18,1,1,1378
1499.1128846052559,1523.8066640651696,-24.693779459913685,1.6,1,0.4,0.6,0.4,1.8,5,0.4,0.4,0.6,3.0,3.0,1,2,0.0,0.0,,,0,0,0,,,,,,,,140672,2025-11-18,0,1,60
1584.0154005629158,1524.8171835174558,59.19821704546007,1.4,0,0.4,0.2,0.0,1.6,2,0.2,0.8,0.4,6.0,5.0,5,4,0.0,0.0,,,0,0,1,5.0,,,,,,,416059,2025-11-18,3,1,1310
1505.8646781068549,1489.7009120310197,16.163766075835156,1.5,-1,0.5,0.5,0.5,1.5,0,0.25,0.5,0.5,3.0,3.0,1,2,0.0,0.0,,,1,0,0,1.0,,,,,,,140675,2025-11-18,0,1,60
1488.2790471738206,1471.910463958236,16.368583215584522,1.2,0,0.4,0.6,0.4,0.6,-5,0.2,0.6,0.4,3.0,3.0,1,1,0.0,0.0,,,0,4,0,1.5,,,,,,,140673,2025-11-18,0,1,60
1537.1011252297533,1479.745672715796,57.35545251395729,2.2,4,0.4,0.6,0.4,0.0,-4,0.0,0.6666666666666666,0.6666666666666666,5.0,5.0,1,1,0.0,0.0,,,1,0,0,3.0,,,,,,,140674,2025-11-18,1,1,60
1544.5032448613863,1523.8425193661417,20.660725495244606,0.2,-5,0.2,0.6,0.6,1.6,2,0.4,0.4,0.2,3.0,4.0,1,1,0.0,0.0,,,1,0,0,3.0,,,,,,,140676,2025-11-18,8,0,60
1605.2262406842458,1530.6930159182623,74.5332247659835,2.6,5,1.0,0.0,0.0,1.0,-1,0.2,0.4,0.4,4.0,4.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140677,2025-11-18,0,2,60
1508.2659570057945,1491.917572546257,16.348384459537556,1.4,-3,0.4,0.4,0.4,0.0,-6,0.0,0.0,1.0,3.0,3.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140678,2025-11-18,2,0,60
1509.691945272455,1470.4244574722732,39.267487800181925,2.2,12,0.6,0.4,0.4,1.6,1,0.4,0.6,0.4,3.0,4.0,1,1,0.0,0.0,,,2,1,0,2.6666666666666665,,,,,,,140679,2025-11-18,1,1,60
1602.6299612628343,1588.4468544432732,14.18310681956109,1.6,0,0.6,0.2,0.0,1.2,0,0.2,0.8,0.4,5.0,5.0,1,1,1.8,1.2,,,2,3,0,1.6,,,,,,,144160,2025-11-18,2,1,67
1513.9312866405248,1574.1123852050823,-60.18109856455749,1.4,0,0.6,0.4,0.6,2.0,2,0.6,0.4,0.6,2.0,2.0,3,2,0.0,0.0,,,0,0,0,,,,,,,,140685,2025-11-18,2,0,60
1487.4556211097288,1522.158245431561,-34.70262432183222,0.0,-1,0.0,1.0,1.0,2.3333333333333335,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0,3.0,1,1,0.0,0.0,,,0,0,1,3.0,,,,,,,140684,2025-11-18,0,4,60
1529.1911806240348,1630.4868234970695,-101.2956428730347,2.0,4,0.8,0.2,0.2,2.0,7,0.6,0.4,0.6,4.0,5.0,1,1,0.0,0.0,,,0,4,1,2.2,,,,,,,140682,2025-11-18,0,0,60
1490.9141547125419,1509.614855363888,-18.700700651346096,0.6,-3,0.6,0.0,0.0,1.0,-6,0.0,0.8,0.8,4.0,3.0,1,1,0.0,0.0,,,1,0,0,3.0,,,,,,,140681,2025-11-18,3,2,60
1523.6518342272448,1548.5111377670873,-24.859303539842585,2.0,3,0.4,0.4,0.2,0.4,-3,0.0,0.6,0.4,4.0,35.0,1,0,0.0,0.0,,,1,2,1,2.75,,,,,,,140680,2025-11-18,3,0,60
1432.6197779802826,1564.030933840862,-131.41115586057936,0.8,-4,0.0,0.4,0.4,1.2,-1,0.2,0.6,0.2,3.0,35.0,1,0,0.0,0.0,,,0,0,0,,,,,,,,140683,2025-11-18,2,2,60
1461.6120135400135,1597.6117153230116,-135.99970178299805,2.6,6,0.4,0.6,0.4,2.0,4,0.2,0.8,0.8,4.0,5.0,1,1,0.0,0.0,,,1,0,0,2.0,,,,,,,140686,2025-11-18,0,2,60
1483.7089868060893,1468.513948252225,15.195038553864379,0.6,-2,0.2,0.0,0.2,0.6,-5,0.2,0.6,0.6,4.0,3.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140687,2025-11-18,1,0,60
1454.5431909404763,1482.7606561666464,-28.217465226170134,1.0,1,0.0,0.8,0.6,0.4,-6,0.2,0.6,0.6,3.0,5.0,1,1,0.0,0.0,,,1,2,1,0.75,,,,,,,140688,2025-11-18,2,4,60
1578.5289208268891,1537.9178311518574,40.611089675031735,2.4,10,0.4,0.6,0.8,1.6,3,0.4,0.6,0.4,3.0,6.0,1,1,0.0,0.0,,,2,2,1,1.4,,,,,,,140689,2025-11-18,2,1,60
1518.4336677448935,1502.5515082346249,15.882159510268593,2.0,-1,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0,0.0,1.0,0.0,4.0,4.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140690,2025-11-18,1,0,60
1499.1411540140527,1566.4368481648241,-67.2956941507714,1.4,-11,0.2,0.6,0.8,1.8,3,0.2,0.6,0.6,1032.0,123.0,0,0,0.0,0.0,,,1,0,0,5.0,,,,,,,179195,2025-11-18,1,1,69
1500.0,1492.1481388525162,7.85186114748376,0.0,0,0.0,0.0,0.0,0.8,-6,0.4,0.0,0.4,,3.0,0,1,,0.0,,,0,0,0,,,,,,,,140691,2025-11-18,2,1,60
1487.5033542292367,1522.1155591191293,-34.61220488989261,0.8,-1,0.4,0.4,0.6,2.4,9,0.4,0.4,0.4,4.0,37.0,1,0,0.0,0.0,,,0,0,0,,,,,,,,140692,2025-11-18,0,0,60
1578.7410797746477,1498.7496210357663,79.99145873888142,2.6,5,1.0,0.0,0.0,2.0,2,0.0,0.8,0.6,4.0,4.0,1,1,0.0,0.0,,,2,0,0,5.5,,,,,,,140693,2025-11-18,4,0,60
1627.66344072575,1508.7629996693368,118.90044105641323,2.0,7,0.4,0.6,0.6,0.8,-5,0.0,0.4,0.4,3.0,4.0,1,2,0.0,0.0,,,1,0,0,6.0,,,,,,,140694,2025-11-18,1,1,60
1440.1521488667456,1628.9638730470194,-188.8117241802738,2.0,1,0.8,0.0,0.2,2.6,12,0.8,0.2,0.6,3.0,3.0,1,1,2.2,0.8,,,0,3,1,3.0,,,,,,,142575,2025-11-18,1,1,63
1442.5442564607126,1426.385681139272,16.158575321440594,0.0,-17,0.0,0.2,0.8,0.6,-7,0.2,0.4,0.8,3.0,3.0,1,1,1.4,1.4,,,1,1,2,3.75,,,,,,,142573,2025-11-18,2,1,63
